names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Gumbau,Elche,28,26,1952,1.3,0.8,1.5,0,1.1,0.3,0,6.54,0,4,1,1.6,0.2,0.6,0,0.3,0.6,32.3,81,1.7,3.2,0,0.6,1
Pawel Dawidowicz,Verona,27,17,1225,2.4,0.9,1.9,0.2,2.7,0.5,0,6.54,1,1,0.6,0.3,0.1,0.5,0,0.2,0.4,36.6,78.1,0,2.1,0.1,1.8,0
Sardar Azmoun,Leverkusen,28,24,865,0.5,0,0.7,0,0.4,0,0,6.51,4,1,1.1,0.7,0.3,0.2,0.3,0.5,0.9,10.1,68.6,0,0.4,0,0.9,0
Lukás Hrádecky,Leverkusen,33,43,3901,0,0,0,0,0.5,0,1,6.56,0,0,0,0,0,0,0,0,0,28.7,69.3,0,5.1,0,0.2,1
Jonathan Ikoné,Fiorentina,24,34,1650,0.5,0.1,0.8,0,0,0,0,6.54,3,4,1.6,0.9,1.4,0.7,0.2,1.3,1.8,19.5,83.5,0.1,1.3,0,0.5,0
Ferran Torres,Barcelona,23,47,1901,0.4,0.1,0.5,0,0.1,0,0,6.54,8,2,1.2,0.7,1,0.8,0.3,0.8,1.5,17.2,79.6,0.5,0.5,0,0.2,1
Luis Sinisterra,Leeds,23,19,803,1.1,0.5,0.8,0.1,0.1,0.1,0,6.64,5,0,1.3,0.5,1.1,0.9,0.3,1.2,1.1,18.3,82.2,0.1,0.5,0.1,0.9,1
Juan Iglesias,Getafe,24,24,1609,2,0.7,1.3,0.1,2.3,0.2,0,6.54,1,0,0.5,0.5,0.4,0.6,0,0.2,1,20,63,0.6,1.2,0,0.4,0
Neco Williams,Nottingham Forest,21,42,2539,2.1,1.2,0.9,0.1,1.2,0.3,0,6.61,0,1,1,0.6,0.7,1,0.1,0.7,1.3,23.9,70,0.6,1.6,0.1,0.6,2
Jonjoe Kenny,Hertha Berlin,26,24,1793,1.6,1.5,1.1,0.3,1.8,0.3,0,6.54,0,1,0.3,0.6,0.4,0.3,0,0.3,0.9,31.5,75.6,0.4,2.3,0,0.8,0
Franco Cervi,Celta Vigo,28,27,1478,2.2,1,0.9,0,0.4,0,0,6.54,0,3,0.7,0.6,0.5,1.1,0,0.6,1,19.1,77.4,0.4,0.4,0,0.4,0
Joaquín Fernández,Real Valladolid,26,21,1692,1.2,0.9,0.5,0.5,4,0.9,0,6.54,1,0,0.4,0.1,0,0.4,0.1,0,0.2,37.4,83.7,0,2.9,0,1.9,1
Daniel Amartey,Leicester,28,31,2060,1,0.4,0.4,0.6,3.4,1,0,6.56,0,0,0.3,0.3,0.2,0.2,0,0.2,0.4,55.3,91.5,0,2,0.1,1.7,1
Ansu Fati,Barcelona,20,43,1401,0.4,0.1,0.6,0,0.1,0,0,6.45,7,3,1.8,0.4,0.6,0.3,0.3,0.9,1.2,16.2,84.6,0.1,0.3,0,0.3,0
Matteo Bianchetti,Cremonese,30,25,1872,1.5,0.7,0.8,0.6,4.5,0.7,0,6.53,1,0,0.3,0.2,0.1,0.4,0,0.1,0.3,36,77.2,0,2.1,0,2.6,0
Nélson Semedo,Wolves,29,33,2255,2,0.8,1.1,0,2,0.4,0,6.55,0,2,0.3,0.4,0.8,0.5,0,0.6,1.2,35.9,82.5,0.2,1,0,0.9,0
Kamory Doumbia,Reims,20,23,938,1.1,0.6,0.7,0,0,0,0,6.53,3,2,1.1,0.8,0.6,0.2,0,0.6,1.4,18.6,81.3,0,0.6,0,0.3,0
Arthur Cabral,Fiorentina,24,24,1097,0.3,0,1,0,0.3,0,0,6.53,6,1,1.7,0.5,0.3,0.6,0,0.8,1.9,9.3,68.9,0,0.2,0,1.6,1
Joe Worrall,Nottingham Forest,26,27,2085,1.6,0.9,1,0.3,3.7,0.7,0,6.58,1,0,0.4,0.2,0.1,0.1,0,0.1,0.3,40.3,80.5,0,3,0,1.8,0
Jordan Ferri,Montpellier,31,26,2111,1.8,0.8,1.3,0,0.5,0.2,0,6.53,0,2,0.4,1,0.5,1.9,0,1.6,1.2,58.6,86.3,0.3,4.4,0.2,0.6,1
Pablo Ibáñez,Osasuna,24,17,608,1.4,0.5,0.9,0.1,0.9,0.1,0,6.53,1,1,0.9,0.5,0.4,0.6,0.2,0.6,0.6,15.2,75,0,1,0,1.2,1
Antonino Gallo,Lecce,23,24,1787,1.9,0.5,0.5,0.2,1.8,0.1,2,6.53,0,1,0.2,1.1,0.6,0.5,0.1,0.3,0.8,29,70.4,0.9,2,0,0.9,0
Hugo Bueno,Wolves,20,18,1162,1.6,0.5,0.3,0.1,1.5,0.1,0,6.60,0,1,0.3,0.8,0.8,0.4,0,0.5,1,28.5,85.4,1.2,0.2,0,0.5,0
Leonardo Bittencourt,Werder Bremen,29,19,1130,1.6,0.5,1.7,0,0.4,0,0,6.53,3,1,0.9,0.4,1.1,1.6,0.2,0.4,1.7,28.3,74.9,0.2,0.9,0,0.2,0
Dejan Ljubicic,FC Koln,25,27,1373,0.7,0.3,0.7,0,0.2,0,0,6.42,5,1,1.2,0.9,0.5,0.5,0.3,0.4,1.2,18.8,77.7,0.3,0.8,0.1,0.3,1
Fernando,Sevilla,35,22,1672,1.6,1.1,0.9,0.3,1.9,0.4,1,6.60,0,0,0.2,0.4,0.1,0.4,0,0.6,0.6,47.7,90,0,3,0,1.2,0
Yohann Magnin,Clermont Foot,25,30,2058,2.6,0.7,1.4,0,1.2,0.4,0,6.53,0,0,0.4,0.6,0.2,1.4,0.1,0.3,0.5,38,84.8,0.1,1.9,0,0.7,0
Damián Suárez,Getafe,34,19,1258,1.8,0.6,1.3,0.2,1,0,0,6.53,1,0,0.2,0.9,0.3,0.4,0.1,0.3,0.7,25.9,68.8,0.6,1.7,0,0.6,0
Rubén Sánchez,Espanyol,22,16,791,1.7,1,1,0.1,0.9,0.3,0,6.53,0,2,0.5,0.4,0.8,0.4,0,0.5,1,14,77.7,0.3,0.8,0,0.8,0
Christoph Kramer,Borussia M.Gladbach,32,26,2143,1.5,0.7,1.3,0.2,1.5,0,0,6.53,0,0,0.2,0.6,0.8,0.5,0.2,1,1,44.5,83.3,0.1,0.8,0,1,0
Konstantinos Tsimikas,Liverpool,26,31,1708,1.1,0.8,0.8,0.2,0.7,0.2,0,6.87,0,6,0.6,1.3,0.8,0.9,0,0.3,1,29.7,82.4,1.6,1.9,0,0.6,0
Kike Barja,Osasuna,26,22,806,0.4,0.2,0.7,0,0.1,0,0,6.53,1,3,0.5,1.1,1,0.6,0.3,0.8,1.3,12.7,77.3,1.2,0.4,0,0.4,0
Rodri,Real Betis,23,29,1680,0.7,0.5,0.3,0,0.1,0,0,6.64,2,3,0.7,0.6,1.3,1.4,0.1,0.7,1.3,30.3,89.6,0.1,1.2,0,0,2
Hugo Ekitike,PSG,20,27,913,0.5,0.3,0.4,0,0.1,0,0,6.45,4,3,1,0.3,0.5,0.4,0.3,0.7,1,11.2,81.7,0,0.2,0,0.3,0
