names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Fred,Man Utd,30,51,1960,1.6,0.6,1.1,0,0.4,0.1,0,6.54,6,3,1,0.8,0.3,0.7,0,0.6,1,25.8,81.8,0.1,1.2,0.1,0.3,1
Leandro Cabrera,Espanyol,31,25,1965,1.4,1.3,1,0.4,3.6,0.9,1,6.49,0,0,0.7,0.4,0.3,0.5,0,0.1,0.3,39.2,72.9,0.1,3,0,2.2,0
Brenden Aaronson,Leeds,22,37,2264,1.2,0.2,0.5,0,0.2,0.1,0,6.45,1,3,1.2,1.4,1.1,1.6,0.2,2.3,2.2,21.3,80.3,0.5,0.2,0.1,0.2,0
Robert Gumny,Augsburg,24,27,2015,1.5,1,1.3,0.2,2,0.3,0,6.46,1,2,0.3,0.3,0.3,0.8,0.1,0.5,0.8,24,68.7,0.2,1.3,0,1.7,0
Ivan Rakitic,Sevilla,35,34,2039,1.3,0.8,0.6,0,0.6,0.1,0,6.56,2,4,1.2,0.9,0.1,1,0.1,0.5,0.9,40.4,84.9,0.6,2.8,0,0.7,1
Iván Balliu,Rayo Vallecano,31,32,2761,1.4,0.8,1.1,0.3,1.8,0.1,2,6.51,0,0,0.3,1,0.3,1,0.2,0.3,0.6,38.5,79.6,0.8,1.4,0,0.8,0
Noah Fadiga,Brest,23,20,1222,1.4,1.2,1,0.2,0.8,0.4,0,6.49,1,0,0.5,0.1,0.8,0.9,0.1,0.3,1.1,22.9,79.9,0.2,0.7,0,0.4,1
Sergio Akieme,Almeria,25,25,2118,1.1,0.5,0.7,0.5,1.4,0.2,0,6.49,1,0,0.9,0.8,1,0.6,0,1,1,29.4,80.7,0.8,1.4,0,0.6,1
Dion Lopy,Reims,21,25,1160,1.6,0.9,1,0,0.7,0.1,0,6.49,0,1,0.7,0.7,0.6,1,0,0.6,1.2,26.3,85.8,0,2,0,0.6,0
Chris Mepham,Bournemouth,25,34,2918,1.7,1,0.9,0.5,5.2,1,2,6.55,0,1,0.3,0.3,0.1,0.3,0,0.1,0.2,41.1,82.8,0,1.7,0,1.6,0
Simone Verdi,Verona,30,16,689,0.8,0,0.7,0,0.1,0,0,6.49,2,0,1,0.9,1.3,0.9,0.1,1.3,1.5,13.3,75.6,0.8,1.1,0.1,0.3,1
Muhammed Cham,Clermont Foot,22,31,1588,0.8,0.2,0.5,0,0.2,0,0,6.47,5,2,1.3,0.7,0.7,1,0,1.6,1,23.7,82.4,0.5,1.1,0.1,0.1,1
Jim Allevinah,Clermont Foot,28,29,1824,1.3,0.6,0.6,0,0.5,0,0,6.49,1,1,1,0.5,1.1,1.7,0,1.3,1.3,20.6,83,0.4,0.2,0,0.4,0
Falaye Sacko,Montpellier,27,31,1932,1.4,1,0.6,0.2,1.7,0.4,1,6.49,0,3,0.1,0.6,0.5,0.6,0.2,0.3,0.9,29.1,80.8,0.3,0.9,0,0.5,0
Alex Telles,Sevilla,30,31,1687,0.9,0.7,0.9,0.3,1,0.3,0,6.44,0,3,0.6,0.7,0.4,0.6,0,0.3,0.5,23.3,81.5,0.8,1,0,0.9,0
Nacho Vidal,Osasuna,28,17,1094,1.5,1.1,1.6,0.4,1.2,0.2,0,6.49,0,0,0.5,0.2,0.7,0.9,0,0.6,0.8,23.6,76.1,0.2,1.2,0.1,1.6,0
Ryan Yates,Nottingham Forest,25,26,1887,1.6,0.4,2,0.1,1.8,0.4,0,6.59,2,2,1.2,0.3,0.3,2,0,0.8,1,25.4,79.8,0,1.4,0,1.4,0
Kyle Walker,Man City,32,34,2211,0.8,0.6,0.4,0.3,0.8,0.1,0,6.47,0,0,0.1,0.2,0.5,0.5,0,0.1,0.4,57.9,88.7,0.1,2.7,0,0.7,0
José Morales,Villarreal,35,30,1094,0.2,0.1,0.2,0,0.1,0,0,6.49,7,0,1.4,0.3,0.6,0.4,0.3,0.4,0.8,8,71.8,0.1,0.2,0,0.3,0
Unai Simón,Athletic Bilbao,25,36,2957,0,0,0,0,0.4,0,0,6.49,0,0,0,0,0,0.1,0,0,0,28.1,76.5,0,4.7,0,0.2,2
Odsonne Édouard,Crystal Palace,25,29,1514,0.9,0.1,0.8,0,0.7,0.2,0,6.52,6,2,1.5,0.5,0.5,0.5,0.4,1.7,1.9,13,73.9,0,0,0,1.3,0
Roberto Soriano,Bologna,32,29,1326,1.1,0.2,0.7,0,0.5,0.1,0,6.48,1,3,0.5,0.7,0.2,1.2,0.1,0.6,0.8,21.8,81.1,0.1,0.7,0.1,0.4,0
Andrea Pinamonti,Sassuolo,23,25,1804,0.4,0.1,0.7,0,0.4,0.1,0,6.48,5,0,2.2,0.6,0.4,0.8,0.2,2,2,16.2,64.9,0.1,0.2,0,1.4,0
Gavin Bazunu,Southampton,21,38,3330,0.1,0,0,0,1.2,0,1,6.48,0,0,0,0,0,0.1,0,0,0,31.1,57.4,0,7.1,0,0.5,1
Anthony Modeste,Borussia Dortmund,34,26,1133,0.3,0.1,0.8,0,1.1,0.1,0,6.40,2,1,1.1,0.3,0,0.5,0.3,0.6,1.1,6.6,61.5,0.1,0,0,1.6,0
Hugo Guillamón,Valencia,23,28,1673,0.8,0.8,1.4,0,1.2,0.1,1,6.47,1,4,0.2,1,0,1.3,0,0.6,0.4,41.9,84.9,0.7,3.2,0,0.8,0
Óscar Rodríguez,Celta Vigo,24,25,1301,1,0.6,0.7,0,0.3,0,0,6.48,2,0,1.4,0.6,0.3,0.8,0,0.4,0.8,29.8,84,0.4,1.5,0,0.4,0
Abdelhamid Sabiri,Sampdoria,26,23,1189,1,0.3,1.4,0,0.4,0.1,0,6.48,3,1,1.6,0.8,0.6,1.8,0,1.3,1.5,20.9,74.8,0.5,1.4,0.1,1.5,1
Lukas Nmecha,Wolfsburg,24,20,927,0.3,0.2,0.3,0,0.2,0.1,0,6.39,4,0,1.2,0.3,0.5,1.4,0.4,0.6,2.1,10.5,68.3,0.1,0.3,0,0.9,0
Emanuel Aiwu,Cremonese,22,25,1390,2.5,1.2,0.9,0.4,2.3,0.6,0,6.48,0,0,0.2,0.2,0.2,0.5,0,0.2,0.3,32.5,81.5,0.1,1.2,0.1,1.3,1
Nico González,Valencia,21,17,776,0.8,0.5,1.1,0.1,0.4,0.2,1,6.48,1,0,0.5,0.4,1.1,0.4,0,0.5,0.4,29.8,89,0,1,0,0.8,0
Munir El Haddadi,Getafe,27,20,804,0.5,0.4,0.6,0,0.2,0.1,0,6.48,2,1,1.3,0.5,0.6,1.5,0.4,0.9,1.6,13.6,72.4,0.7,0.2,0,1.1,0
Erik Lamela,Sevilla,31,33,1729,1.2,0.2,1.8,0,0.1,0,0,6.47,6,0,1.3,0.8,0.9,0.6,0.3,1.2,1.6,22.5,81.3,0.2,0.5,0,0.5,0
Ryan Christie,Bournemouth,28,35,1965,1.3,0.7,1.2,0,0.4,0.1,0,6.54,3,1,1.1,0.8,0.7,1.3,0,1.1,1.4,18.8,81.7,0.4,0.6,0,0.5,1
Lewis Cook,Bournemouth,26,26,1763,1.6,1,0.6,0,1.1,0.4,0,6.51,0,2,0.2,1,0.4,0.4,0,0.6,0.6,28.5,81.5,0.6,0.9,0,0.3,0
Dani García,Athletic Bilbao,32,21,1066,1.7,0.7,1.3,0,1,0.2,0,6.48,0,2,0.3,0.4,0.1,0.6,0,0.2,0.3,26.4,78.9,0.1,1.6,0,0.8,0
Jean-Kévin Duverne,Brest,25,26,1835,2.2,0.7,1.1,0.1,1.6,0.2,0,6.48,0,0,0.2,0.3,0.5,0.7,0.1,0.6,1,31.2,74.7,0.3,2.4,0,1,0
Patson Daka,Leicester,24,33,1116,0.5,0.2,0.7,0,0.3,0.1,0,6.46,7,3,1.1,0.6,0.3,0.5,0.2,0.7,1.7,8.7,67.9,0,0.1,0.1,0.8,0
Carles Pérez,Celta Vigo,25,27,1514,0.9,0.2,1,0,0.2,0.1,0,6.48,2,4,1.3,0.7,0.8,0.9,0.2,0.9,1.5,17.3,87.1,0.1,0.6,0,0.2,1
Wesley Saïd,Lens,27,19,605,0.2,0.1,1,0,0.1,0,0,6.48,5,0,1.3,0.3,0.8,0.1,0.1,0.3,0.9,8.9,81.8,0.1,0.4,0.1,0.2,0
Alexis Claude-Maurice,Lens,24,20,584,0.8,0.2,0.3,0,0.1,0,0,6.45,4,2,0.7,0.4,0.5,0.9,0,0.7,1,11.6,85.9,0.1,0.2,0,0.3,0
Josh Dasilva,Brentford,24,31,1341,0.6,0.1,0.5,0,0.2,0.2,0,6.48,3,2,0.5,0.4,0.9,0.6,0,0.8,0.9,17.9,83.8,0.2,0.6,0.1,0.2,0
Munas Dabbur,Hoffenheim,30,21,803,0.4,0.2,0.5,0,0,0,0,6.54,7,1,1.2,0.7,1,0.5,0.3,1,1.4,13.4,75.1,0.1,0.4,0,0.3,0
Richarlison,Tottenham,25,37,1473,0.8,0.3,0.7,0,0.4,0.1,0,6.63,5,3,1.3,0.9,0.3,1.2,0.3,0.8,1.7,12.6,73.4,0.2,0.3,0.1,0.5,4
Alberto Grassi,Empoli,28,17,604,1.1,1.1,0.8,0,1.7,0.5,0,6.48,0,0,0.4,0.2,0.1,0.4,0,0.4,0.5,16.4,79.1,0,0.5,0,0.8,1
César de la Hoz,Almeria,31,17,1207,1.7,0.5,1.1,0.1,1.4,0.3,0,6.48,1,0,0.4,0.2,0.2,0.4,0,0.2,0.6,23.9,80.5,0.1,2.1,0.1,1.1,1
Yoane Wissa,Brentford,26,35,1234,0.5,0.2,0.5,0,0.4,0,0,6.46,5,2,0.8,0.3,0.6,0.6,0.5,0.7,1.1,8.5,73.1,0,0.3,0,0.5,0
Abdu Conté,Troyes,25,16,1179,1.4,0.4,0.8,0.5,1.3,0.4,0,6.48,1,2,0.3,0.8,0.1,0.6,0.2,0.4,0.6,33.7,80,0.5,1.3,0.1,0.9,0
Yangel Herrera,Girona,25,17,779,1.3,0.1,1.8,0,0.5,0.1,0,6.48,2,2,1.2,0.6,0.4,1.1,0.1,1.1,1.3,19.1,81.4,0.2,0.8,0.1,1.1,0
Hugo Magnetti,Brest,24,26,1384,1.5,0.8,0.4,0,0.5,0,0,6.48,0,2,0.6,0.4,0.7,1,0,0.5,0.6,22.7,83.9,0.3,1.7,0,0.2,0
Tiago Tomás,Stuttgart,20,22,1020,0.4,0.1,0.5,0.1,0.2,0.1,0,6.48,2,3,1.2,0.8,0.7,1.8,0.1,0.9,1.8,11.9,63.7,0.5,0.3,0.1,0.3,0
Andoni Gorosabel,Real Sociedad,26,24,1487,1.4,0.5,0.8,0.1,0.7,0,0,6.41,0,0,0.5,0.3,0.3,0.6,0,0.3,0.8,32.1,85.6,0.4,1.3,0,0.6,1
Koffi Djidji,Torino,30,27,1864,1.4,1.1,0.8,0.2,2.1,0.4,0,6.47,1,0,0.3,0.1,0.1,0.1,0,0.2,0.2,40.6,86.6,0.2,1.5,0,1.3,1
Nadiem Amiri,Leverkusen,26,30,1039,0.7,0.3,0.6,0,0.3,0,0,6.46,5,2,0.7,0.6,0.6,0.9,0.1,0.3,0.7,20.1,86.5,0.1,0.7,0,0,0
Nicolò Cambiaghi,Empoli,22,19,613,0.8,0.3,0.5,0,0.2,0.1,0,6.47,3,1,1,0.3,0.5,1.4,0.1,0.5,1.1,10.7,82.3,0.1,0.3,0,0.2,1
Mads Roerslev,Brentford,23,19,1152,1.2,0.6,0.2,0.1,1.7,0.3,0,6.48,0,0,0.2,0.4,0.1,0.3,0,0.6,0.8,18.8,68.6,0.3,0.9,0.1,0.5,0
Kiliann Sildillia,Freiburg,20,33,2434,1.4,1.1,1.5,0.3,1.5,0.4,0,6.52,0,2,0.4,0.4,0.4,0.3,0.1,0.5,0.9,34.1,74.7,0.3,1.3,0,1.5,0
Harrison Reed,Fulham,28,33,2256,1.1,0.6,1,0,0.9,0.3,1,6.47,2,2,0.6,0.9,0.3,0.6,0.1,0.7,1.3,33.5,79.6,0.4,1.3,0,0.9,0
Pere Milla,Elche,30,22,1404,1.1,0.3,0.6,0,0.5,0,0,6.47,6,1,1.1,0.6,0.5,1.6,0.5,0.9,1.9,19.8,71.1,0.1,1,0.1,0.8,2
Yunus Musah,Valencia,20,32,2108,1.6,0.4,1.4,0.1,0.5,0,0,6.50,0,2,0.8,0.6,0.8,1.3,0.1,0.8,1.5,28.7,83.3,0.1,1.2,0.1,0.9,0
Sanjin Prcic,Strasbourg,29,31,1773,0.9,1,0.6,0,0.7,0.2,0,6.43,1,1,1,0.4,0.4,0.6,0,0.2,0.4,35.2,83.8,0.3,3.5,0.1,0.6,0
Naouirou Ahamada,Stuttgart,21,24,1496,0.8,0.3,0.8,0,0.3,0.2,0,6.33,2,2,0.8,0.7,0.9,0.7,0.1,0.5,1.6,23.3,85.2,0.1,0.4,0,0.3,0
Wilfried Kanga,Hertha Berlin,25,24,1358,0.2,0.1,0.8,0,0.5,0.1,0,6.47,5,0,1.1,1,0.3,0.6,0.4,0.9,1.6,11,63,0.1,0.1,0,2.4,0
Ángel Correa,Atletico,28,36,1288,0.3,0.3,0.5,0,0.1,0.1,0,6.39,7,1,1.3,0.8,0.7,0.6,0.3,0.9,1.6,14.9,83.6,0.2,0.3,0,0.1,1
Emmanuel Dennis,Nottingham Forest,25,25,1110,1,0.3,1,0,0.2,0.1,0,6.51,3,3,1.3,0.5,1.3,1.6,0.2,1.7,2.1,10.5,71.7,0.1,0.3,0,0.8,1
Boubakary Soumaré,Leicester,24,22,1171,2.1,1.1,1,0,1,0.1,0,6.53,0,0,0,0.4,0.3,0.6,0,0.6,0.9,35,88.2,0,1.2,0,0.5,0
Aihen Muñoz,Real Sociedad,25,18,1145,1.9,0.3,1.1,0.1,1.4,0.2,0,6.51,0,0,0.3,0.5,0.6,0.4,0,0.8,1.1,31.2,81.4,0.4,1.1,0,1.1,0
Gianluca Caprari,Monza,29,29,1943,0.5,0.2,1.1,0,0.1,0,0,6.46,4,2,1.4,0.8,0.9,1.4,0.3,0.9,2.3,26.7,84.1,0.7,0.9,0,0.2,1
Toni Villa,Girona,28,24,926,1.3,0.3,0.4,0,0,0,0,6.44,1,2,0.7,0.6,1,0.8,0.3,0.9,0.9,12.9,80.7,0.2,0.2,0,0.1,2
Martin Valjent,Mallorca,27,25,2076,0.9,0.9,1,0.3,3.6,0.5,0,6.49,0,0,0.1,0.1,0,0.3,0,0,0.2,42,82.8,0.1,3.2,0,1.1,0
Rodrigo Ely,Almeria,29,27,2348,0.7,0.9,0.7,1,5.3,0.9,1,6.47,0,0,0.6,0.1,0.1,0.4,0.1,0,0.5,41.3,81,0,3,0,2.4,0
Renato Sanches,PSG,25,22,676,0.4,0.5,1,0,0.2,0,0,6.46,2,0,0.5,0.4,0.4,0.5,0,0.3,0.6,28.5,92.2,0,1.4,0,0.2,0
Marvin Friedrich,Borussia M.Gladbach,27,17,963,0.8,0.7,0.1,0.5,2.4,0.3,0,6.47,1,0,0.4,0.3,0.1,0.1,0,0.1,0.2,45.9,85.4,0,1.9,0,1.9,0
Aaron Hickey,Brentford,20,24,1733,1.7,1,0.8,0.2,0.9,0.3,0,6.53,0,0,0.4,0.2,0.6,1.7,0,0.4,0.7,28.1,84.4,0.1,1.1,0,0.5,0
Kevin Vogt,Hoffenheim,31,22,1691,0.7,1.2,1,0.8,3,0.5,0,6.46,0,0,0,0.1,0,0.5,0,0.1,0.4,54,87,0.1,4.6,0,0.5,0
Jordan Zemura,Bournemouth,23,22,1612,2,0.9,1,0.2,1.3,0.5,0,6.48,0,1,0.2,1,0.9,0.8,0,0.8,1.8,24.8,69.7,0.3,0.6,0,0.4,0
Fali,Cadiz,29,20,1434,1.1,0.4,0.8,0.2,3.1,0.6,0,6.46,0,0,0.4,0.2,0.1,0.9,0.1,0.1,0.3,23.9,74.7,0,3.2,0.1,1.3,0
Álvaro Aguado,Real Valladolid,26,25,1341,0.8,0.4,0.3,0,0.3,0.1,0,6.46,1,2,0.5,1,0.4,0.8,0,0.2,0.6,30.4,85.5,0.3,3.3,0.1,0.5,0
Stéphane Diarra,Lorient,24,27,1024,0.9,0.7,0.3,0,0.3,0,0,6.46,2,0,0.7,0.4,0.9,0.7,0.1,0.5,1.1,10.7,75,0.1,0,0,0.2,1
Riccardo Saponara,Fiorentina,31,26,979,0.4,0.2,0.4,0,0.3,0,0,6.46,3,2,1.4,0.8,0.7,0.9,0.2,0.7,1,15.4,76.3,0.3,0.3,0,0.3,1
Karol Linetty,Torino,28,33,1982,1.2,0.6,1.7,0,0.7,0.3,0,6.42,1,0,0.5,0.6,0.3,0.7,0.2,0.5,0.8,31.5,86.8,0.3,1.2,0,0.7,1
Paul Bernardoni,Angers,25,28,1980,0.1,0,0,0,0.7,0,0,6.46,0,0,0,0,0,0.1,0,0,0,20.4,62.1,0,3.9,0,0.3,1
Gerzino Nyamsi,Strasbourg,26,17,1386,1.5,0.6,1.9,0.6,3.2,0.6,0,6.46,1,1,0.8,0.1,0.5,0.2,0,0.1,0.6,43.9,83.8,0,3.1,0,2.2,1
Kevin Trapp,Eintracht Frankfurt,32,38,3150,0,0,0,0,0.8,0,0,6.55,0,0,0,0,0,0.1,0,0,0,22.6,61.2,0,3.5,0,0.3,0
Rubén Vargas,Augsburg,24,28,1526,0.6,0.3,0.9,0,0.7,0.1,0,6.59,3,4,1.1,1,0.7,0.7,0.3,0.3,1.5,16.9,67.6,0.5,0.4,0,0.6,1
Joan Gonzàlez,Lecce,21,28,2027,1.6,0.5,1.1,0.1,0.9,0.3,1,6.46,1,3,0.6,0.5,0.6,1.5,0.1,0.9,1.6,23.5,79.4,0.1,0.8,0,1,1
Daniel Maldini,Spezia,21,17,564,0.8,0.1,0.7,0,0.4,0,0,6.46,2,0,0.9,0.2,1.3,0.8,0,0.5,1.3,9.7,72.3,0.2,0.2,0,0.7,0
Nemanja Maksimovic,Getafe,28,24,1527,1.2,1.2,0.7,0,0.6,0.4,0,6.47,0,0,0.5,0.4,0,0.3,0,0.3,0.6,20,81.2,0.2,0.5,0,0.8,0
Danny Ward,Leicester,29,34,2885,0,0,0,0,0.6,0,0,6.50,0,0,0,0,0,0.1,0,0,0,28.1,69.2,0,5.1,0,0.1,1
Aritz Elustondo,Real Sociedad,29,25,1503,1.3,1,1,0.4,1.5,0.4,0,6.57,1,1,0.5,0.3,0.1,0.6,0,0.2,0.5,39.8,83.7,0.1,1.8,0,1.3,1
Thilo Kehrer,West Ham,26,28,2204,2,1.3,1.4,0.4,2.5,0.3,1,6.45,0,1,0.3,0.2,0.3,0.4,0,0.3,0.8,42.7,85.2,0.1,1.5,0,1.3,0
Nemanja Radonjic,Torino,27,35,1519,0.1,0.1,0.6,0,0.2,0,0,6.42,5,2,1.5,0.6,1.4,0.5,0.3,1,1.7,11.9,72.7,0.5,0.3,0,0.2,3
Andrea Colpani,Monza,23,23,627,0.6,0.1,0.8,0,0.1,0.1,0,6.46,3,0,1,0.5,0.6,0.8,0,0.5,0.8,12.4,84.3,0.3,0.6,0,0.2,0
Danny da Costa,Mainz,29,20,986,0.8,0.5,0.3,0.2,0.9,0.2,0,6.46,0,2,0.3,0.6,0.4,0.2,0.1,0.6,0.9,17.9,63.8,0.4,0.7,0,0.7,0
Jonny,Wolves,29,23,1477,1.8,1,0.7,0,1.3,0.3,0,6.46,1,0,0.4,0.2,0.7,1,0,0.8,0.8,37.5,83.2,0.2,1.3,0.1,0.8,0
Juanmi,Real Betis,29,20,946,0.8,0.2,0.7,0,0.1,0,0,6.43,4,1,1.1,0.6,0.7,1.1,0.7,0.6,1.1,13.2,82.9,0,0.4,0,0.4,1
Ante Budimir,Osasuna,31,33,1610,0.6,0.2,1.6,0.1,0.6,0.1,0,6.44,2,0,1.4,0.3,0.2,0.8,0.3,0.9,1.9,9.1,60.3,0,0,0,2.9,0
Linton Maina,FC Koln,23,32,1699,0.5,0.2,0.5,0,0.2,0,0,6.46,3,5,1.1,1,0.5,0.7,0.6,0.7,1.7,16.1,75.9,0.4,0.3,0,0,1
Luis Muriel,Atalanta,31,24,833,0.3,0.1,0.7,0,0.1,0,0,6.46,1,2,0.9,1.3,1.3,0.6,0.1,1,1.9,16.4,69.1,0.9,0.9,0.2,0.5,1
Saúl Ñíguez,Atletico,28,30,953,1.4,0.6,1.1,0,0.6,0.1,0,6.49,1,1,0.6,0.2,0.3,0.1,0,0.1,0.8,15.7,79.8,0,0.4,0,1.4,0
Lucas Olaza,Real Valladolid,28,18,1224,1.2,0.7,0.6,0.1,1.3,0.3,0,6.45,0,1,0.2,0.8,0.2,0.9,0.1,0.3,0.7,26.3,79.5,0.6,1.4,0,1.2,0
Adam Lallana,Brighton,34,18,792,0.6,0.1,0.1,0,0.1,0,0,6.47,3,1,0.5,0.9,0.2,0.5,0,0.6,1,19.8,84,0.1,0.1,0,0.5,0
Gary Medel,Bologna,35,25,1356,1,1.1,0.7,0,1.3,0.3,0,6.45,0,1,0.1,0.3,0.2,0.7,0,0.2,0.3,43,88.9,0,2.8,0,0.6,0
Moussa Sissoko,Nantes,33,35,2054,1.1,0.6,1,0,0.6,0.2,0,6.46,2,0,0.7,0.5,0.5,0.6,0.1,0.6,1,25.7,80.8,0.2,0.7,0,1.1,1
Wilfred Ndidi,Leicester,26,26,1495,2.3,1.4,1.4,0,1.7,0.5,0,6.49,0,0,0.3,0.2,0.3,0.7,0,0.3,0.6,38.1,85.6,0,0.8,0,1.1,0
Mathias Pereira Lage,Brest,26,18,1088,0.9,0.8,1.1,0,0.6,0.1,0,6.45,1,1,1,0.5,0.4,1.3,0.1,0.9,1.2,16.8,72.6,0.1,0.8,0,0.9,0
Tomás Rincón,Sampdoria,35,27,1809,1.7,0.9,1.6,0,0.5,0.2,0,6.45,0,2,0.4,0.7,0.8,0.9,0,0.8,0.8,34.8,82.4,0.2,2.2,0,1.1,0
Issa Kaboré,Marseille,21,25,730,1.2,0.4,0.9,0.1,0.6,0.1,0,6.38,1,0,0.4,0.4,0.5,0.8,0.1,0.4,1.1,15.2,84.3,0.3,0.4,0,0.1,0
Achraf Dari,Brest,23,22,1504,1,1.1,0.7,0.6,3.5,0.7,0,6.48,2,0,0.2,0,0,0.7,0.1,0.2,0.2,38,81,0,3.5,0,2,0
Maxime Gonalons,Clermont Foot,34,18,1020,1.8,0.7,0.8,0,0.3,0.1,0,6.45,1,0,0.3,0.3,0.6,0.9,0,0.4,0.8,33.6,88.6,0,2.4,0,0.5,1
Clerc,Elche,31,23,1837,2.3,0.6,0.9,0.5,1.6,0.2,0,6.45,0,1,0.3,0.4,0.7,0.9,0.1,0.4,0.9,28.1,75.7,0.3,1.1,0,0.4,0
Rubén García,Osasuna,29,25,806,0.6,0.4,0.4,0,0.2,0,0,6.45,3,2,0.8,0.8,0.3,0.6,0,0.4,0.8,17.4,80.8,0.8,1.1,0.1,0.4,0
Florian Neuhaus,Borussia M.Gladbach,26,17,940,0.8,0.4,0.4,0,0.2,0.2,0,6.45,1,0,1.1,0.5,0.5,0.8,0.1,0.5,0.9,22.5,77.5,0.1,0.8,0.2,0.2,0
Johan Vásquez,Cremonese,24,22,1076,1.3,1.4,1.1,0.6,3.4,0.8,0,6.45,1,0,0.4,0.3,0.4,0.9,0,0.4,0.6,28.6,74,0,1.4,0,1.1,0
Léo Leroy,Montpellier,23,20,911,2.2,0.5,1.5,0,0.3,0.1,0,6.45,0,0,0.6,0.5,0.5,0.7,0.1,0.7,1,20.4,76.7,0.1,1,0,0.9,0
Robin Gosens,Inter,28,37,1175,1.4,0.6,0.5,0,0.5,0,0,6.47,3,0,0.6,0.5,0.2,0.1,0.1,0.1,0.6,16.6,79.9,0.3,0.6,0,0.6,0
Yassine Bounou,Sevilla,32,39,3085,0.1,0.1,0,0,0.9,0,0,6.51,0,0,0,0,0,0.1,0,0,0.1,34.7,73.8,0,6.4,0,0.2,2
Igor Julio,Fiorentina,25,22,1634,1.5,0.9,1.1,0.7,2,0.6,0,6.44,0,0,0.3,0.1,0.4,0.5,0,0.4,0.4,47.7,87.5,0,3.6,0,1.6,0
Elvis Rexhbecaj,Augsburg,25,25,1986,1.6,0.6,1,0,1.1,0.4,0,6.44,0,0,0.5,0.4,0.2,1.9,0,0.5,1.4,28.8,68.4,0,1.1,0,1.3,0
Mario Pasalic,Atalanta,28,40,1948,0.8,0.5,0.7,0,0.4,0.1,0,6.43,3,3,0.8,0.5,0.1,0.4,0.1,0.7,0.9,19,81.8,0.1,0.5,0,1.1,2
Tonny Vilhena,Salernitana,28,25,1744,1.4,0.5,0.9,0,0.6,0.2,0,6.44,3,1,1,0.7,0.5,1,0,0.9,1.4,24,79.5,0.5,0.9,0,0.3,0
Ante Rebic,AC Milan,29,26,951,0.5,0.1,1,0,0.2,0,0,6.42,3,2,1.1,0.5,0.4,0.5,0.2,0.7,1.2,12,62.4,0.3,0.4,0.1,0.6,1
Milan Skriniar,Inter,28,34,2620,1.2,0.5,1.4,0.2,2.2,0.7,1,6.52,0,0,0.3,0.3,0.1,0.6,0,0.1,0.5,63.5,92.4,0,2.8,0,1.1,0
Pavel Kaderábek,Hoffenheim,30,24,1414,0.9,0.4,1,0,1.3,0.1,0,6.44,2,1,0.3,0.7,0.1,0.7,0.1,0.3,0.4,22.4,68,0.9,0.6,0,1.5,0
Assan Ceesay,Lecce,29,29,1273,0.8,0.1,0.9,0,0.8,0,0,6.44,4,0,1.2,0.1,0.6,0.8,0.6,0.7,2.1,10.5,60.1,0.1,0.2,0,1.8,1
Samuel Moutoussamy,Nantes,26,43,2258,1.7,0.7,0.7,0,0.5,0.1,1,6.42,0,2,0.7,0.7,0.5,0.4,0,0.4,0.6,33.3,87.2,0.1,1.7,0,0.6,0
Mohamed Elyounoussi,Southampton,28,40,2647,1.3,0.6,1,0,0.9,0.1,0,6.51,0,3,1.2,0.7,0.7,0.5,0.1,1.2,1.3,19.8,69,0.3,0.7,0.1,1.1,0
Grejohn Kyei,Clermont Foot,27,29,1587,0.4,0.1,1.5,0,0.4,0.1,0,6.44,5,2,1.4,0.2,0.9,0.9,0.4,1.3,2.6,11.8,70.4,0.1,0.4,0,1,1
Miguel Gutiérrez,Girona,21,25,1759,1.1,0.6,0.7,0.1,0.9,0.1,0,6.44,1,2,0.5,0.7,0.7,0.7,0,0.6,1.1,30.8,84.7,0.6,1,0,0.2,0
Duván Zapata,Atalanta,32,24,936,0.1,0.1,0.5,0,0.6,0.1,0,6.44,1,1,1.6,0.7,0.7,1.3,0.3,1.6,1.6,14.8,71.6,0.2,0.3,0,1.7,0
Jens Stage,Werder Bremen,26,27,1333,1,0.5,0.7,0,0.8,0.3,0,6.44,3,1,0.5,0.5,0.3,0.4,0,0.2,0.7,17.3,69.9,0.1,0.3,0,1.1,1
Oliver Skipp,Tottenham,22,23,1095,1.2,0.4,0.9,0,0.8,0.1,0,6.41,1,0,0.3,0.5,0.3,0.8,0,0.4,0.6,29.2,86.6,0.1,1.2,0,0.4,1
Bevic Moussiti-Oko,AC Ajaccio,28,24,728,0.1,0.1,0.9,0,0.4,0.1,0,6.36,1,0,1.1,0.3,0.7,1.1,0.1,0.6,1.4,8.2,59.5,0,0,0,2.6,1
Roque Mesa,Real Valladolid,33,22,1359,1.1,0.5,1.5,0,0.7,0.1,0,6.44,2,1,1,0.7,0.5,1.1,0,0.8,0.9,33.5,83.9,0.1,3.3,0.1,0.3,1
Emerson,West Ham,28,22,1170,1.1,0.5,0.7,0.1,1.2,0.2,0,6.48,1,0,0.5,0.7,0.4,0.5,0,0.4,0.5,28.3,80.1,0.4,0.7,0,1,0
